keys,en,pt
INFO_PANEL_GO_TO,"Go To","Ir para"
INFO_PANEL_FOLLOW,"Follow","Seguir"
INFO_PANEL_GO_TO_FOLLOW,"Go To + Follow","Ir para + seguir"
INFO_PANEL_DATA_TAB,"Data","Dados"
INFO_PANEL_DESCRIPTION_TAB,"Description","Descrição"
INFO_PANEL_AVERAGE_ORBITAL_DISTANCE,"Average Orbital Distance","Distância orbital média"
INFO_PANEL_AVERAGE_ORBITAL_DISTANCE_VALUE,"{average_orbital_distance} km","{average_orbital_distance} km"
INFO_PANEL_ORBITAL_PERIOD,"Orbital Period","Período orbital"
INFO_PANEL_ORBITAL_PERIOD_VALUE,"{orbital_period} day(s)","{orbital_period} dia(s)"
INFO_PANEL_ROTATION_PERIOD,"Rotation Period","Período de rotação"
INFO_PANEL_ROTATION_PERIOD_VALUE,"{rotation_period} day(s)","{rotation_period} dia(s)"
INFO_PANEL_RADIUS,"Radius","Raio"
INFO_PANEL_RADIUS_VALUE,"{radius} km","{radius} km"
INFO_PANEL_MASS,"Mass","Massa"
INFO_PANEL_MASS_VALUE,"{mass} trillion(s) of kg","{mass} trilhões de kg"
INFO_PANEL_SURFACE_GRAVITY,"Surface Gravity","Gravidade na superfície"
INFO_PANEL_SURFACE_GRAVITY_VALUE,"{surface_gravity} m/s²","{surface_gravity} m/s²"
INFO_PANEL_AVERAGE_SURFACE_TEMPERATURE,"Average Surface Temperature","Temperatura superficial média"
INFO_PANEL_AVERAGE_SURFACE_TEMPERATURE_VALUE,"{average_surface_temperature} °C","{average_surface_temperature} °C"
INFO_PANEL_BODY_TYPE_STAR,"Star","Estrela"
INFO_PANEL_BODY_TYPE_PLANET,"Planet","Planeta"
INFO_PANEL_BODY_TYPE_DWARF_PLANET,"Dwarf Planet","Planeta anão"
INFO_PANEL_BODY_TYPE_NATURAL_SATELLITE,"Natural Satellite","Satélite natural"
