keys,en,pt
MENU_TITLE,"Menu","Menu"
MENU_OPTIONS_TAB,"Options","Opções"
MENU_HELP_TAB,"Help","Ajuda"
MENU_RESTART,"Restart simulation","Reiniciar simulação"
MENU_LANGUAGE,"Language","Idioma"
MENU_SIMULATION_SCALE,"Simulation Scale","Escala da simulação"
MENU_SIMULATION_SPEED,"Simulation Speed","Velocidade da simulação"
MENU_LABELS,"Labels","Rótulos"
MENU_PASSTHROUGH,"Passthrough","Visão do ambiente"
MENU_HELP_CONTROLS,"Controls","Controles"
MENU_HELP_MENU,"Open/close menu","Abrir/fechar menu"
MENU_HELP_ROTATE_VIEW,"Rotate view left/right","Girar visão para a esquerda/direita"
MENU_HELP_MOVE,"Move forward/backward","Mover-se para frente/trás"
MENU_HELP_INCREASE_MOVEMENT_SPEED,"Increase movement speed","Aumentar velocidade do movimento"
MENU_HELP_PASSTHROUGH,"Enable/disable passthrough","Ativar/desativar visão do ambiente"
MENU_HELP_SELECT,"Select","Selecionar"
MENU_HELP_POINTER,"Enable/disable selection pointer","Ativar/desativar ponteiro de seleção"
MENU_HELP_PAUSE,"Pause/unpause simulation","Pausar/despausar simulação"
MENU_HELP_CHANGE_SIMULATION_SPEED,"Increase/decrease simulation speed","Aumentar/diminuir velocidade da simulação"
MENU_HELP_RESET,"Reset simulation speed to 1x","Resetar velocidade da simulação para 1x"
MENU_HELP_CHANGE_SCALE,"Change simulation scale","Alterar escala da simulação"
MENU_HELP_GRAB,"Grab","Agarrar"
MENU_HELP_STOP_FOLLOWING,"Stop following","Parar de seguir"
